s,laplace_transform
0.139,530.2623947925191
0.14,526.8595017638927
0.141,523.5064174889674
0.142,520.2020406298298
0.143,516.9453013078638
0.144,513.7351600085934
0.145,510.57060653156384
0.146,507.4506589832114
0.147,504.3743628106118
0.148,501.3407898742377
0.149,498.34903755787116
0.15,495.3982279139835
0.151,492.487506842939
0.152,489.616043304447
0.153,486.7830285598602
0.154,483.9876754438492
0.155,481.2292176642154
0.156,478.50690912851826
0.157,475.8200232963592
0.158,473.16785255621096
0.159,470.5497076256827
0.16,467.96491697422584
0.161,465.41282626729094
0.162,462.8927978310345
0.163,460.4042101366937
0.164,457.9464573037719
0.165,455.51894862127176
0.166,453.1211080862096
0.167,450.75237395866134
0.168,448.4121983327148
0.169,446.10004672260413
0.17,443.81539766345924
0.171,441.5577423260542
0.172,439.3265841449581
0.173,437.121438459618
0.174,434.94183216778066
0.175,432.78730339081744
0.176,430.6574011504554
0.177,428.5516850564471
0.178,426.4697250048231
0.179,424.4111008862092
0.18,422.37540230391335
0.181,420.36222830135836
0.182,418.371187098503
0.183,416.40189583691813
0.184,414.4539803332112
0.185,412.5270748404331
0.186,410.6208218172094
0.187,408.73487170431196
0.188,406.86888270835567
0.189,405.0225205923829
0.19,403.1954584731004
0.191,401.38737662449756
0.192,399.59796228760376
0.193,397.82690948620916
0.194,396.0739188482964
0.195,394.33869743297976
0.196,392.620958562783
0.197,390.92042166104204
0.198,389.23681209424956
0.199,387.56986101919983
0.2,385.9193052347222
0.201,384.2848870378708
0.202,382.66635408443346
0.203,381.0634592535581
0.204,379.4759605163975
0.205,377.9036208086399
0.206,376.34620790676837
0.207,374.8034943079146
0.208,373.2752571132499
0.209,371.76127791469673
0.21,370.2613426849549
0.211,368.775241670644
0.212,367.30276928852396
0.213,365.84372402464186
0.214,364.3979083363545
0.215,362.9651285571029
0.216,361.5451948038607
0.217,360.13792088716434
0.218,358.743124223655
0.219,357.3606257510381
0.22,355.99024984538585
0.221,354.63182424071937
0.222,353.2851799507933
0.223,351.9501511929941
0.224,350.6265753143224
0.225,349.31429271935934
0.226,348.0131468001941
0.227,346.7229838682038
